Sample,Repeat,Read_No
DMPX_BM1-N701-A-S502-A_S1_L001,110,0
DMPX_BM1-N701-A-S502-A_S1_L001,111,0
DMPX_BM1-N701-A-S502-A_S1_L001,112,0
DMPX_BM1-N701-A-S502-A_S1_L001,113,0
DMPX_BM1-N701-A-S502-A_S1_L001,114,0
DMPX_BM1-N701-A-S502-A_S1_L001,115,0
DMPX_BM1-N701-A-S502-A_S1_L001,116,0
DMPX_BM1-N701-A-S502-A_S1_L001,117,0
DMPX_BM1-N701-A-S502-A_S1_L001,118,0
DMPX_BM1-N701-A-S502-A_S1_L001,119,0
DMPX_BM1-N701-A-S502-A_S1_L001,120,0
DMPX_BM1-N701-A-S502-A_S1_L001,121,0
DMPX_BM1-N701-A-S502-A_S1_L001,122,0
DMPX_BM1-N701-A-S502-A_S1_L001,123,0
DMPX_BM1-N701-A-S502-A_S1_L001,124,0
DMPX_BM1-N701-A-S502-A_S1_L001,125,0
DMPX_BM1-N701-A-S502-A_S1_L001,126,0
DMPX_BM1-N701-A-S502-A_S1_L001,127,0
DMPX_BM1-N701-A-S502-A_S1_L001,128,1
DMPX_BM1-N701-A-S502-A_S1_L001,129,0
DMPX_BM1-N701-A-S502-A_S1_L001,130,0
DMPX_BM1-N701-A-S502-A_S1_L001,131,0
DMPX_BM1-N701-A-S502-A_S1_L001,132,0
DMPX_BM1-N701-A-S502-A_S1_L001,133,0
DMPX_BM1-N701-A-S502-A_S1_L001,134,1
DMPX_BM1-N701-A-S502-A_S1_L001,135,0
DMPX_BM1-N701-A-S502-A_S1_L001,136,0
DMPX_BM1-N701-A-S502-A_S1_L001,137,0
DMPX_BM1-N701-A-S502-A_S1_L001,138,0
DMPX_BM1-N701-A-S502-A_S1_L001,139,0
DMPX_BM1-N701-A-S502-A_S1_L001,140,0
DMPX_BM1-N701-A-S502-A_S1_L001,141,0
DMPX_BM1-N701-A-S502-A_S1_L001,142,0
DMPX_BM1-N701-A-S502-A_S1_L001,143,0
DMPX_BM1-N701-A-S502-A_S1_L001,144,0
DMPX_BM1-N701-A-S502-A_S1_L001,145,0
DMPX_BM1-N701-A-S502-A_S1_L001,146,0
DMPX_BM1-N701-A-S502-A_S1_L001,147,0
DMPX_BM1-N701-A-S502-A_S1_L001,148,0
DMPX_BM1-N701-A-S502-A_S1_L001,149,0
DMPX_BM1-N701-A-S502-A_S1_L001,150,0
DMPX_BM1-N701-A-S502-A_S1_L001,151,0
DMPX_BM1-N701-A-S502-A_S1_L001,152,0
DMPX_BM1-N701-A-S502-A_S1_L001,153,0
DMPX_BM1-N701-A-S502-A_S1_L001,154,0
DMPX_BM1-N701-A-S502-A_S1_L001,155,0
DMPX_BM1-N701-A-S502-A_S1_L001,156,0
DMPX_BM1-N701-A-S502-A_S1_L001,157,0
DMPX_BM1-N701-A-S502-A_S1_L001,158,1
DMPX_BM1-N701-A-S502-A_S1_L001,159,0
DMPX_BM1-N701-A-S502-A_S1_L001,160,0
DMPX_BM1-N701-A-S502-A_S1_L001,161,0
DMPX_BM1-N701-A-S502-A_S1_L001,162,0
DMPX_BM1-N701-A-S502-A_S1_L001,163,0
DMPX_BM1-N701-A-S502-A_S1_L001,164,0
DMPX_BM1-N701-A-S502-A_S1_L001,165,0
DMPX_BM1-N701-A-S502-A_S1_L001,166,0
DMPX_BM1-N701-A-S502-A_S1_L001,167,0
DMPX_BM1-N701-A-S502-A_S1_L001,168,0
DMPX_BM1-N701-A-S502-A_S1_L001,169,0
DMPX_BM1-N701-A-S502-A_S1_L001,170,0
DMPX_BM1-N701-A-S502-A_S1_L001,171,0
DMPX_BM1-N701-A-S502-A_S1_L001,172,1
DMPX_BM1-N701-A-S502-A_S1_L001,173,0
DMPX_BM1-N701-A-S502-A_S1_L001,174,0
DMPX_BM1-N701-A-S502-A_S1_L001,175,0
DMPX_BM1-N701-A-S502-A_S1_L001,176,0
DMPX_BM1-N701-A-S502-A_S1_L001,177,0
DMPX_BM1-N701-A-S502-A_S1_L001,178,0
DMPX_BM1-N701-A-S502-A_S1_L001,179,0
DMPX_BM1-N701-A-S502-A_S1_L001,180,0
DMPX_BM1-N701-A-S502-A_S1_L001,181,0
DMPX_BM1-N701-A-S502-A_S1_L001,182,0
DMPX_BM1-N701-A-S502-A_S1_L001,183,0
DMPX_BM1-N701-A-S502-A_S1_L001,184,0
DMPX_BM1-N701-A-S502-A_S1_L001,185,0
DMPX_BM1-N701-A-S502-A_S1_L001,186,0
DMPX_BM1-N701-A-S502-A_S1_L001,187,0
DMPX_BM1-N701-A-S502-A_S1_L001,188,0
DMPX_BM1-N701-A-S502-A_S1_L001,189,0
DMPX_BM1-N701-A-S502-A_S1_L001,190,1
DMPX_BM1-N701-A-S502-A_S1_L001,191,0
DMPX_BM1-N701-A-S502-A_S1_L001,192,0
DMPX_BM1-N701-A-S502-A_S1_L001,193,0
DMPX_BM1-N701-A-S502-A_S1_L001,194,0
DMPX_BM1-N701-A-S502-A_S1_L001,195,0
DMPX_BM1-N701-A-S502-A_S1_L001,196,0
DMPX_BM1-N701-A-S502-A_S1_L001,197,0
DMPX_BM1-N701-A-S502-A_S1_L001,198,0
DMPX_BM1-N701-A-S502-A_S1_L001,199,0
DMPX_BM1-N701-A-S502-A_S1_L001,200,1
DMPX_BM1-N701-A-S503-A_S13_L001,1,0
DMPX_BM1-N701-A-S503-A_S13_L001,2,0
DMPX_BM1-N701-A-S503-A_S13_L001,3,2
DMPX_BM1-N701-A-S503-A_S13_L001,4,1
DMPX_BM1-N701-A-S503-A_S13_L001,5,1
DMPX_BM1-N701-A-S503-A_S13_L001,6,2
DMPX_BM1-N701-A-S503-A_S13_L001,7,7
DMPX_BM1-N701-A-S503-A_S13_L001,8,6
DMPX_BM1-N701-A-S503-A_S13_L001,9,5
DMPX_BM1-N701-A-S503-A_S13_L001,10,13
DMPX_BM1-N701-A-S503-A_S13_L001,11,11
DMPX_BM1-N701-A-S503-A_S13_L001,12,9
DMPX_BM1-N701-A-S503-A_S13_L001,13,18
DMPX_BM1-N701-A-S503-A_S13_L001,14,36
DMPX_BM1-N701-A-S503-A_S13_L001,15,83
DMPX_BM1-N701-A-S503-A_S13_L001,16,172
DMPX_BM1-N701-A-S503-A_S13_L001,17,807
DMPX_BM1-N701-A-S503-A_S13_L001,18,4328
DMPX_BM1-N701-A-S503-A_S13_L001,19,18491
DMPX_BM1-N701-A-S503-A_S13_L001,20,308
DMPX_BM1-N701-A-S503-A_S13_L001,21,28
DMPX_BM1-N701-A-S503-A_S13_L001,22,24
DMPX_BM1-N701-A-S503-A_S13_L001,23,5
DMPX_BM1-N701-A-S503-A_S13_L001,24,10
DMPX_BM1-N701-A-S503-A_S13_L001,25,5
DMPX_BM1-N701-A-S503-A_S13_L001,26,5
DMPX_BM1-N701-A-S503-A_S13_L001,27,8
DMPX_BM1-N701-A-S503-A_S13_L001,28,11
DMPX_BM1-N701-A-S503-A_S13_L001,29,11
DMPX_BM1-N701-A-S503-A_S13_L001,30,11
DMPX_BM1-N701-A-S503-A_S13_L001,31,15
DMPX_BM1-N701-A-S503-A_S13_L001,32,22
DMPX_BM1-N701-A-S503-A_S13_L001,33,30
DMPX_BM1-N701-A-S503-A_S13_L001,34,21
DMPX_BM1-N701-A-S503-A_S13_L001,35,48
DMPX_BM1-N701-A-S503-A_S13_L001,36,52
DMPX_BM1-N701-A-S503-A_S13_L001,37,64
DMPX_BM1-N701-A-S503-A_S13_L001,38,105
DMPX_BM1-N701-A-S503-A_S13_L001,39,217
DMPX_BM1-N701-A-S503-A_S13_L001,40,452
DMPX_BM1-N701-A-S503-A_S13_L001,41,1015
DMPX_BM1-N701-A-S503-A_S13_L001,42,2255
DMPX_BM1-N701-A-S503-A_S13_L001,43,3046
DMPX_BM1-N701-A-S503-A_S13_L001,44,2282
DMPX_BM1-N701-A-S503-A_S13_L001,45,770
DMPX_BM1-N701-A-S503-A_S13_L001,46,359
DMPX_BM1-N701-A-S503-A_S13_L001,47,120
DMPX_BM1-N701-A-S503-A_S13_L001,48,24
DMPX_BM1-N701-A-S503-A_S13_L001,49,6
DMPX_BM1-N701-A-S503-A_S13_L001,50,7
DMPX_BM1-N701-A-S503-A_S13_L001,51,4
DMPX_BM1-N701-A-S503-A_S13_L001,52,3
DMPX_BM1-N701-A-S503-A_S13_L001,53,0
DMPX_BM1-N701-A-S503-A_S13_L001,54,0
DMPX_BM1-N701-A-S503-A_S13_L001,55,0
DMPX_BM1-N701-A-S503-A_S13_L001,56,1
DMPX_BM1-N701-A-S503-A_S13_L001,57,0
DMPX_BM1-N701-A-S503-A_S13_L001,58,0
DMPX_BM1-N701-A-S503-A_S13_L001,59,0
DMPX_BM1-N701-A-S503-A_S13_L001,60,0
DMPX_BM1-N701-A-S503-A_S13_L001,61,0
DMPX_BM1-N701-A-S503-A_S13_L001,62,0
DMPX_BM1-N701-A-S503-A_S13_L001,63,0
DMPX_BM1-N701-A-S503-A_S13_L001,64,0
DMPX_BM1-N701-A-S503-A_S13_L001,65,0
DMPX_BM1-N701-A-S503-A_S13_L001,66,0
DMPX_BM1-N701-A-S503-A_S13_L001,67,0
DMPX_BM1-N701-A-S503-A_S13_L001,68,1
DMPX_BM1-N701-A-S503-A_S13_L001,69,0
